reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R01240,UDP-glucose:phenol beta-D-glucosyltransferase; UDP-glucose + Phenol <=> UDP + Aryl beta-D-glucoside,C00029 + C15584 <=> C00015 + C03097,UDP-glucose + Phenol <=> UDP + Aryl beta-D-glucoside,['2.4.1.35'],C00029;C15584,C00015;C03097,1.0;1.0,1.0;1.0
R01241,phenyl acetate acetylhydrolase; Phenol + Acetate <=> Phenyl acetate + H2O,C00146 + C00033 <=> C00548 + C00001,Phenol + Acetate <=> Phenyl acetate + H2O,['3.1.1.2'],C00146;C00033,C00548;C00001,1.0;1.0,1.0;1.0
R01242,"3'-phosphoadenylylsulfate:phenol sulfotransferase; 3'-Phosphoadenylyl sulfate + Phenol <=> Adenosine 3',5'-bisphosphate + Aryl sulfate",C00053 + C15584 <=> C00054 + C00850,"3'-Phosphoadenylyl sulfate + Phenol <=> Adenosine 3',5'-bisphosphate + Aryl sulfate",['2.8.2.1'],C00053;C15584,C00054;C00850,1.0;1.0,1.0;1.0
R01243,aryl-sulfate sulfohydrolase; Aryl sulfate + H2O <=> Phenol + Sulfate,C00850 + C00001 <=> C15584 + C00059,Aryl sulfate + H2O <=> Phenol + Sulfate,['3.1.6.1'],C00850;C00001,C15584;C00059,1.0;1.0,1.0;1.0
R01244,adenine aminohydrolase; Adenine + H2O <=> Hypoxanthine + Ammonia,C00147 + C00001 <=> C00262 + C00014,Adenine + H2O <=> Hypoxanthine + Ammonia,['3.5.4.2'],C00147;C00001,C00262;C00014,1.0;1.0,1.0;1.0
R01245,adenosine ribohydrolase; Adenosine + H2O <=> Adenine + D-Ribose,C00212 + C00001 <=> C00147 + C00121,Adenosine + H2O <=> Adenine + D-Ribose,"['3.2.2.1', ' 3.2.2.7']",C00212;C00001,C00147;C00121,1.0;1.0,1.0;1.0
R01246,L-proline:NAD+ 2-oxidoreductase; L-Proline + NAD+ <=> 1-Pyrroline-2-carboxylate + NADH + H+,C00148 + C00003 <=> C03564 + C00004 + C00080,L-Proline + NAD+ <=> 1-Pyrroline-2-carboxylate + NADH + H+,"['1.5.1.1', ' 1.5.1.49']",C00148;C00003,C03564;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R01248,L-proline:NAD+ 5-oxidoreductase; L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+,C00148 + C00003 <=> C03912 + C00004 + C00080,L-Proline + NAD+ <=> (S)-1-Pyrroline-5-carboxylate + NADH + H+,['1.5.1.2'],C00148;C00003,C03912;C00004;C00080,1.0;1.0,1.0;1.0;1.0
R01249,L-proline:NADP+ 2-oxidoreductase; L-Proline + NADP+ <=> 1-Pyrroline-2-carboxylate + NADPH + H+,C00148 + C00006 <=> C03564 + C00005 + C00080,L-Proline + NADP+ <=> 1-Pyrroline-2-carboxylate + NADPH + H+,"['1.5.1.1', ' 1.5.1.21', '1.5.1.49']",C00148;C00006,C03564;C00005;C00080,1.0;1.0,1.0;1.0;1.0
R01251,L-proline:NADP+ 5-oxidoreductase; L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+,C00148 + C00006 <=> C03912 + C00005 + C00080,L-Proline + NADP+ <=> (S)-1-Pyrroline-5-carboxylate + NADPH + H+,['1.5.1.2'],C00148;C00006,C03912;C00005;C00080,1.0;1.0,1.0;1.0;1.0
R01252,"L-proline,2-oxoglutarate:oxygen oxidoreductase (4-hydroxylating); L-Proline + 2-Oxoglutarate + Oxygen <=> Hydroxyproline + Succinate + CO2",C00148 + C00026 + C00007 <=> C01157 + C00042 + C00011,L-Proline + 2-Oxoglutarate + Oxygen <=> Hydroxyproline + Succinate + CO2,['1.14.11.2       1.14.11.57'],C00148;C00026;C00007,C01157;C00042;C00011,1.0;1.0;1.0,1.0;1.0;1.0
R01253,L-proline:quinone oxidoreductase; L-Proline + Quinone <=> (S)-1-Pyrroline-5-carboxylate + Hydroquinone,C00148 + C15602 <=> C03912 + C15603,L-Proline + Quinone <=> (S)-1-Pyrroline-5-carboxylate + Hydroquinone,['1.5.5.2'],C00148;C15602,C03912;C15603,1.0;1.0,1.0;1.0
R01255,proline racemase; L-Proline <=> D-Proline,C00148 <=> C00763,L-Proline <=> D-Proline,['5.1.1.4'],C00148,C00763,1.0,1.0
R01256,(S)-malate:CoA ligase (ADP-forming); ATP + (S)-Malate + CoA <=> ADP + Orthophosphate + L-Malyl-CoA,C00002 + C00149 + C00010 <=> C00008 + C00009 + C04348,ATP + (S)-Malate + CoA <=> ADP + Orthophosphate + L-Malyl-CoA,['6.2.1.9'],C00002;C00149;C00010,C00008;C00009;C04348,1.0;1.0;1.0,1.0;1.0;1.0
R01257,(S)-malate:FAD oxidoreductase; (S)-Malate + FAD <=> Oxaloacetate + FADH2,C00149 + C00016 <=> C00036 + C01352,(S)-Malate + FAD <=> Oxaloacetate + FADH2,['1.1.5.4'],C00149;C00016,C00036;C01352,1.0;1.0,1.0;1.0
R01258,L-amino-aicd:NAD+ oxidoreductase (deaminating); L-Amino acid + NAD+ + H2O <=> 2-Oxo acid + Ammonia + NADH + H+,C00151 + C00003 + C00001 <=> C00161 + C00014 + C00004 + C00080,L-Amino acid + NAD+ + H2O <=> 2-Oxo acid + Ammonia + NADH + H+,['1.4.1.5'],C00151;C00003;C00001,C00161;C00014;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R01259,L-amino-acid:oxygen oxidoreductase (deaminating); L-Amino acid + H2O + Oxygen <=> 2-Oxo acid + Ammonia + Hydrogen peroxide,C00151 + C00001 + C00007 <=> C00161 + C00014 + C00027,L-Amino acid + H2O + Oxygen <=> 2-Oxo acid + Ammonia + Hydrogen peroxide,['1.4.3.2'],C00151;C00001;C00007,C00161;C00014;C00027,1.0;1.0;1.0,1.0;1.0;1.0
R01260,"L-amino acid,NADPH:oxygen oxidoreductase (N-hydroxylating); L-Amino acid + Oxygen + NADPH <=> N-Hydroxy-amino acid + NADP+ + H2O",C00151 + C00007 + C00005 <=> C05710 + C00006 + C00001,L-Amino acid + Oxygen + NADPH <=> N-Hydroxy-amino acid + NADP+ + H2O,['1.14.13.-'],C00151;C00007;C00005,C05710;C00006;C00001,1.0;1.0;1.0,1.0;1.0;1.0
R01261,L-alanine:2-oxo-acid aminotransferase; L-Alanine + 2-Oxo acid <=> Pyruvate + L-Amino acid,C00041 + C00161 <=> C00022 + C00151,L-Alanine + 2-Oxo acid <=> Pyruvate + L-Amino acid,['2.6.1.12'],C00041;C00161,C00022;C00151,1.0;1.0,1.0;1.0
R01262,glutathione:L-amino-acid 5-glutamyltransferase; Glutathione + L-Amino acid <=> Cys-Gly + (5-L-Glutamyl)-L-amino acid,C00051 + C00151 <=> C01419 + C03740,Glutathione + L-Amino acid <=> Cys-Gly + (5-L-Glutamyl)-L-amino acid,['2.3.2.2'],C00051;C00151,C01419;C03740,1.0;1.0,1.0;1.0
R01263,N-acyl-L-amino-acid amidohydrolase; N-Acyl-L-amino acid + H2O <=> Carboxylate + L-Amino acid,C02850 + C00001 <=> C00060 + C00151,N-Acyl-L-amino acid + H2O <=> Carboxylate + L-Amino acid,['3.5.1.14'],C02850;C00001,C00060;C00151,1.0;1.0,1.0;1.0
R01264,N-methyl-L-amino-acid:oxygen oxidoreductase (demethylating); N-Methyl-L-amino acid + H2O + Oxygen <=> L-Amino acid + Formaldehyde + Hydrogen peroxide,C03148 + C00001 + C00007 <=> C00151 + C00067 + C00027,N-Methyl-L-amino acid + H2O + Oxygen <=> L-Amino acid + Formaldehyde + Hydrogen peroxide,['1.5.3.2'],C03148;C00001;C00007,C00151;C00067;C00027,1.0;1.0;1.0,1.0;1.0;1.0
R01265,amino-acid racemase; L-Amino acid <=> D-Amino acid,C00151 <=> C00405,L-Amino acid <=> D-Amino acid,['5.1.1.10'],C00151,C00405,1.0,1.0
R01266,1-beta-aspartyl-N-acetyl-D-glucosaminylamine L-asparaginohydrolase; N4-(Acetyl-beta-D-glucosaminyl)asparagine + H2O <=> N-Acetyl-D-glucosamine + L-Asparagine,C04540 + C00001 <=> C00140 + C00152,N4-(Acetyl-beta-D-glucosaminyl)asparagine + H2O <=> N-Acetyl-D-glucosamine + L-Asparagine,['3.2.2.11'],C04540;C00001,C00140;C00152,1.0;1.0,1.0;1.0
R01267,L-asparagine hydro-lyase (3-cyanoalanine-forming); L-Asparagine <=> 3-Cyano-L-alanine + H2O,C00152 <=> C02512 + C00001,L-Asparagine <=> 3-Cyano-L-alanine + H2O,"['3.5.5.4', ' 4.2.1.65']",C00152,C02512;C00001,1.0,1.0;1.0
R01268,nicotinamide amidohydrolase; Nicotinamide + H2O <=> Nicotinate + Ammonia,C00153 + C00001 <=> C00253 + C00014,Nicotinamide + H2O <=> Nicotinate + Ammonia,['3.5.1.19'],C00153;C00001,C00253;C00014,1.0;1.0,1.0;1.0
R01269,S-adenosyl-L-methionine:nicotinamide N-methyltransferase; S-Adenosyl-L-methionine + Nicotinamide + H+ <=> S-Adenosyl-L-homocysteine + 1-Methylnicotinamide,C00019 + C00153 + C00080 <=> C00021 + C02918,S-Adenosyl-L-methionine + Nicotinamide + H+ <=> S-Adenosyl-L-homocysteine + 1-Methylnicotinamide,['2.1.1.1'],C00019;C00153;C00080,C00021;C02918,1.0;1.0;1.0,1.0;1.0
R01270,nicotinamide D-ribonucleotide phosphoribohydrolase; Nicotinamide D-ribonucleotide + H2O <=> Nicotinamide + D-Ribose 5-phosphate,C00455 + C00001 <=> C00153 + C00117,Nicotinamide D-ribonucleotide + H2O <=> Nicotinamide + D-Ribose 5-phosphate,['3.2.2.14'],C00455;C00001,C00153;C00117,1.0;1.0,1.0;1.0
R01271,nicotinamide-D-ribonucleotide:diphosphate phospho-alpha-D-ribosyltransferase; Nicotinamide D-ribonucleotide + Diphosphate <=> Nicotinamide + 5-Phospho-alpha-D-ribose 1-diphosphate,C00455 + C00013 <=> C00153 + C00119,Nicotinamide D-ribonucleotide + Diphosphate <=> Nicotinamide + 5-Phospho-alpha-D-ribose 1-diphosphate,['2.4.2.12'],C00455;C00013,C00153;C00119,1.0;1.0,1.0;1.0
R01273,N-ribosylnicotinamide ribohydrolase; Nicotinamide-beta-riboside + H2O <=> Nicotinamide + D-Ribose,C03150 + C00001 <=> C00153 + C00121,Nicotinamide-beta-riboside + H2O <=> Nicotinamide + D-Ribose,['3.2.2.3'],C03150;C00001,C00153;C00121,1.0;1.0,1.0;1.0
R01274,palmitoyl-CoA hydrolase; Palmitoyl-CoA + H2O <=> CoA + Hexadecanoic acid,C00154 + C00001 <=> C00010 + C00249,Palmitoyl-CoA + H2O <=> CoA + Hexadecanoic acid,"['3.1.2.2', ' 3.1.2.22', '3.1.2.-']",C00154;C00001,C00010;C00249,1.0;1.0,1.0;1.0
R01277,hexadecanal:NAD+ oxidoreductase (CoA-acylating); Hexadecanal + CoA + NAD+ <=> Palmitoyl-CoA + NADH + H+,C00517 + C00010 + C00003 <=> C00154 + C00004 + C00080,Hexadecanal + CoA + NAD+ <=> Palmitoyl-CoA + NADH + H+,['1.2.1.42'],C00517;C00010;C00003,C00154;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R01278,hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase; trans-hexadec-2-enoyl-CoA reductase; Palmitoyl-CoA + NADP+ <=> trans-Hexadec-2-enoyl-CoA + NADPH + H+,C00154 + C00006 <=> C05272 + C00005 + C00080,Palmitoyl-CoA + NADP+ <=> trans-Hexadec-2-enoyl-CoA + NADPH + H+,"['1.3.1.8', ' 1.3.1.38']",C00154;C00006,C05272;C00005;C00080,1.0;1.0,1.0;1.0;1.0
R01279,"palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase; Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2",C00154 + C00016 <=> C05272 + C01352,Palmitoyl-CoA + FAD <=> trans-Hexadec-2-enoyl-CoA + FADH2,"['1.3.3.6', ' 1.3.8.7', ' 1.3.8.8', ' 1.3.8.9', ' ']",C00154;C00016,C05272;C01352,1.0;1.0,1.0;1.0
R01280,palmitate:CoA ligase (AMP-forming); ATP + Hexadecanoic acid + CoA <=> AMP + Palmitoyl-CoA + Diphosphate,C00002 + C00249 + C00010 <=> C00020 + C00154 + C00013,ATP + Hexadecanoic acid + CoA <=> AMP + Palmitoyl-CoA + Diphosphate,['6.2.1.3'],C00002;C00249;C00010,C00020;C00154;C00013,1.0;1.0;1.0,1.0;1.0;1.0
R01281,palmitoyl-CoA:L-serine C-palmitoyltransferase (decarboxylating); Palmitoyl-CoA + L-Serine <=> 3-Dehydrosphinganine + CoA + CO2,C00154 + C00065 <=> C02934 + C00010 + C00011,Palmitoyl-CoA + L-Serine <=> 3-Dehydrosphinganine + CoA + CO2,['2.3.1.50'],C00154;C00065,C02934;C00010;C00011,1.0;1.0,1.0;1.0;1.0
R01282,Palmitoyl-CoA + Acceptor <=> trans-Hexadec-2-enoyl-CoA + Reduced acceptor,C00154 + C00028 <=> C05272 + C00030,Palmitoyl-CoA + Acceptor <=> trans-Hexadec-2-enoyl-CoA + Reduced acceptor,,C00154;C00028,C05272;C00030,1.0;1.0,1.0;1.0
R01283,L-homocysteine hydrogen-sulfide-lyase (deaminating; 2-oxobutanoate-forming); L-Homocysteine + H2O <=> Hydrogen sulfide + Ammonia + 2-Oxobutanoate,C00155 + C00001 <=> C00283 + C00014 + C00109,L-Homocysteine + H2O <=> Hydrogen sulfide + Ammonia + 2-Oxobutanoate,['4.4.1.2'],C00155;C00001,C00283;C00014;C00109,1.0;1.0,1.0;1.0;1.0
R01286,L-cystathionine L-homocysteine-lyase (deaminating; pyruvate-forming); L-Cystathionine + H2O <=> L-Homocysteine + Ammonia + Pyruvate,C02291 + C00001 <=> C00155 + C00014 + C00022,L-Cystathionine + H2O <=> L-Homocysteine + Ammonia + Pyruvate,['4.4.1.13'],C02291;C00001,C00155;C00014;C00022,1.0;1.0,1.0;1.0;1.0
R01287,O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase; O-acetyl-L-homoserine acetate-lyase (adding hydrogen sulfide); O-Acetyl-L-homoserine + Hydrogen sulfide <=> L-Homocysteine + Acetate,C01077 + C00283 <=> C00155 + C00033,O-Acetyl-L-homoserine + Hydrogen sulfide <=> L-Homocysteine + Acetate,['2.5.1.49'],C01077;C00283,C00155;C00033,1.0;1.0,1.0;1.0
R01288,O4-succinyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase; O-succinyl-L-homoserine succinate-lyase (adding hydrogen sulfide); O-Succinyl-L-homoserine + Hydrogen sulfide <=> L-Homocysteine + Succinate,C01118 + C00283 <=> C00155 + C00042,O-Succinyl-L-homoserine + Hydrogen sulfide <=> L-Homocysteine + Succinate,"['2.5.1.48', '2.5.1.-']",C01118;C00283,C00155;C00042,1.0;1.0,1.0;1.0
R01289,L-serine hydro-lyase (adding homocysteine); L-Serine + L-Homocysteine <=> Cystathionine + H2O,C00065 + C00155 <=> C00542 + C00001,L-Serine + L-Homocysteine <=> Cystathionine + H2O,['4.2.1.22'],C00065;C00155,C00542;C00001,1.0;1.0,1.0;1.0
R01290,L-serine hydro-lyase (adding homocysteine; L-cystathionine-forming); L-Serine + L-Homocysteine <=> L-Cystathionine + H2O,C00065 + C00155 <=> C02291 + C00001,L-Serine + L-Homocysteine <=> L-Cystathionine + H2O,['4.2.1.22'],C00065;C00155,C02291;C00001,1.0;1.0,1.0;1.0
R01291,"S-(5-deoxy-D-ribos-5-yl)-L-homocysteine homocysteine-lyase [(4S)-4,5-dihydroxypentan-2,3-dione-forming]; S-Ribosyl-L-homocysteine <=> (S)-4,5-Dihydroxypentane-2,3-dione + L-Homocysteine",C03539 <=> C11838 + C00155,"S-Ribosyl-L-homocysteine <=> (S)-4,5-Dihydroxypentane-2,3-dione + L-Homocysteine",['4.4.1.21'],C03539,C11838;C00155,1.0,1.0;1.0
R01292,glutathione:homocystine oxidoreductase; L-Homocystine + 2 Glutathione <=> 2 L-Homocysteine + Glutathione disulfide,C01817 + 2 C00051 <=> 2 C00155 + C00127,L-Homocystine + 2 Glutathione <=> 2 L-Homocysteine + Glutathione disulfide,['1.8.4.1'],C01817;C00051,C00155;C00127,1.0;2.0,2.0;1.0
R01293,4-hydroxybenzaldehyde:NAD+ oxidoreductase; 4-Hydroxybenzaldehyde + NAD+ + H2O <=> 4-Hydroxybenzoate + NADH + H+,C00633 + C00003 + C00001 <=> C00156 + C00004 + C00080,4-Hydroxybenzaldehyde + NAD+ + H2O <=> 4-Hydroxybenzoate + NADH + H+,"['1.2.1.28', '1.2.1.64']",C00633;C00003;C00001,C00156;C00004;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R01294,4-hydroxybenzaldehyde:NADP+ oxidoreductase; 4-Hydroxybenzaldehyde + NADP+ + H2O <=> 4-Hydroxybenzoate + NADPH + H+,C00633 + C00006 + C00001 <=> C00156 + C00005 + C00080,4-Hydroxybenzaldehyde + NADP+ + H2O <=> 4-Hydroxybenzoate + NADPH + H+,"['1.2.1.7', ' 1.2.1.96']",C00633;C00006;C00001,C00156;C00005;C00080,1.0;1.0;1.0,1.0;1.0;1.0
R01295,"benzoate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (4-hydroxylating); Benzoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 4-Hydroxybenzoate + [Oxidized NADPH---hemoprotein reductase] + H2O",C00180 + C03024 + C00007 <=> C00156 + C03161 + C00001,Benzoate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 4-Hydroxybenzoate + [Oxidized NADPH---hemoprotein reductase] + H2O,['1.14.14.92'],C00180;C03024;C00007,C00156;C03161;C00001,1.0;1.0;1.0,1.0;1.0;1.0
R01296,"4-hydroxybenzoate,NADH:oxygen oxidoreductase (3-hydroxylating); 4-Hydroxybenzoate + Oxygen + NADH + H+ <=> 3,4-Dihydroxybenzoate + NAD+ + H2O",C00156 + C00007 + C00004 + C00080 <=> C00230 + C00003 + C00001,"4-Hydroxybenzoate + Oxygen + NADH + H+ <=> 3,4-Dihydroxybenzoate + NAD+ + H2O",['1.14.13.33'],C00156;C00007;C00004;C00080,C00230;C00003;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R01297,"4-hydroxybenzoate,NADH:oxygen oxidoreductase (1-hydroxylating, decarboxylating); 4-Hydroxybenzoate + Oxygen + NADH + H+ <=> Hydroquinone + CO2 + NAD+ + H2O",C00156 + C00007 + C00004 + C00080 <=> C00530 + C00011 + C00003 + C00001,4-Hydroxybenzoate + Oxygen + NADH + H+ <=> Hydroquinone + CO2 + NAD+ + H2O,['1.14.13.64'],C00156;C00007;C00004;C00080,C00530;C00011;C00003;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0;1.0
R01298,"4-hydroxybenzoate,NADPH:oxygen oxidoreductase (3-hydroxylating); 4-Hydroxybenzoate + Oxygen + NADPH + H+ <=> 3,4-Dihydroxybenzoate + NADP+ + H2O",C00156 + C00007 + C00005 + C00080 <=> C00230 + C00006 + C00001,"4-Hydroxybenzoate + Oxygen + NADPH + H+ <=> 3,4-Dihydroxybenzoate + NADP+ + H2O",['1.14.13.2       1.14.13.33'],C00156;C00007;C00005;C00080,C00230;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0
R01299,"4-hydroxybenzoate,NADPH:oxygen oxidoreductase (1-hydroxylating, decarboxylating); 4-Hydroxybenzoate + Oxygen + NADPH + H+ <=> Hydroquinone + CO2 + NADP+ + H2O",C00156 + C00007 + C00005 + C00080 <=> C00530 + C00011 + C00006 + C00001,4-Hydroxybenzoate + Oxygen + NADPH + H+ <=> Hydroquinone + CO2 + NADP+ + H2O,['1.14.13.64'],C00156;C00007;C00005;C00080,C00530;C00011;C00006;C00001,1.0;1.0;1.0;1.0,1.0;1.0;1.0;1.0
R01300,4-hydroxybenzoate:CoA ligase (AMP-forming); ATP + 4-Hydroxybenzoate + CoA <=> AMP + Diphosphate + 4-Hydroxybenzoyl-CoA,C00002 + C00156 + C00010 <=> C00020 + C00013 + C02949,ATP + 4-Hydroxybenzoate + CoA <=> AMP + Diphosphate + 4-Hydroxybenzoyl-CoA,['6.2.1.27'],C00002;C00156;C00010,C00020;C00013;C02949,1.0;1.0;1.0,1.0;1.0;1.0
R01301,4-hydroxybenzoyl-CoA hydrolase; 4-Hydroxybenzoyl-CoA + H2O <=> 4-Hydroxybenzoate + CoA,C02949 + C00001 <=> C00156 + C00010,4-Hydroxybenzoyl-CoA + H2O <=> 4-Hydroxybenzoate + CoA,['3.1.2.23'],C02949;C00001,C00156;C00010,1.0;1.0,1.0;1.0
R01302,chorismate pyruvate-lyase (4-hydroxybenzoate-forming); 4-Hydroxybenzoate + Pyruvate <=> Chorismate,C00156 + C00022 <=> C00251,4-Hydroxybenzoate + Pyruvate <=> Chorismate,['4.1.3.40'],C00156;C00022,C00251,1.0;1.0,1.0
R01303,4-Hydroxybenzoate + Acceptor + H2O <=> 4-Hydroxybenzaldehyde + Reduced acceptor + Oxygen,C00156 + C00028 + C00001 <=> C00633 + C00030 + C00007,4-Hydroxybenzoate + Acceptor + H2O <=> 4-Hydroxybenzaldehyde + Reduced acceptor + Oxygen,['1.14.99.-'],C00156;C00028;C00001,C00633;C00030;C00007,1.0;1.0;1.0,1.0;1.0;1.0
R01304,UDP-glucose:4-hydroxybenzoate 4-O-beta-D-glucosyltransferase; UDP-glucose + 4-Hydroxybenzoate <=> UDP + 4-(beta-D-Glucosyloxy)benzoate,C00029 + C00156 <=> C00015 + C03993,UDP-glucose + 4-Hydroxybenzoate <=> UDP + 4-(beta-D-Glucosyloxy)benzoate,['2.4.1.194'],C00029;C00156,C00015;C03993,1.0;1.0,1.0;1.0
R01305,"2,4'-dihydroxyacetophenone oxidoreductase (C-C-bond-cleaving); 4-Hydroxyphenacyl alcohol + Oxygen <=> 4-Hydroxybenzoate + Formate",C13635 + C00007 <=> C00156 + C00058,4-Hydroxyphenacyl alcohol + Oxygen <=> 4-Hydroxybenzoate + Formate,['1.13.11.41'],C13635;C00007,C00156;C00058,1.0;1.0,1.0;1.0
R01306,"4-methoxybenzoate,hydrogen-donor:oxygen oxidoreductase (O-demethylating); 4-Methoxybenzoate + Reduced acceptor + Oxygen <=> 4-Hydroxybenzoate + Formaldehyde + Acceptor + H2O",C02519 + C00030 + C00007 <=> C00156 + C00067 + C00028 + C00001,4-Methoxybenzoate + Reduced acceptor + Oxygen <=> 4-Hydroxybenzoate + Formaldehyde + Acceptor + H2O,['1.14.99.15'],C02519;C00030;C00007,C00156;C00067;C00028;C00001,1.0;1.0;1.0,1.0;1.0;1.0;1.0
R01307,4-chlorobenzoate chlorohydrolase; 4-Chlorobenzoate + H2O <=> 4-Hydroxybenzoate + Cl- + H+,C02370 + C00001 <=> C00156 + C00698 + C00080,4-Chlorobenzoate + H2O <=> 4-Hydroxybenzoate + Cl- + H+,['3.8.1.6'],C02370;C00001,C00156;C00698;C00080,1.0;1.0,1.0;1.0;1.0
R01308,4-Hydroxybenzoate + Acetate + NADH + H+ <=> 4-Coumarate + 2 H2O + NAD+,C00156 + C00033 + C00004 + C00080 <=> C00811 + 2 C00001 + C00003,4-Hydroxybenzoate + Acetate + NADH + H+ <=> 4-Coumarate + 2 H2O + NAD+,,C00156;C00033;C00004;C00080,C00811;C00001;C00003,1.0;1.0;1.0;1.0,1.0;2.0;1.0
R01309,phosphatidylcholine acylhydrolase; Phosphatidylcholine + 2 H2O <=> sn-Glycero-3-phosphocholine + 2 Fatty acid,C00157 + 2 C00001 <=> C00670 + 2 C00162,Phosphatidylcholine + 2 H2O <=> sn-Glycero-3-phosphocholine + 2 Fatty acid,['3.1.1.5'],C00157;C00001,C00670;C00162,1.0;2.0,1.0;2.0
R01310,phosphatidylcholine phosphatidohydrolase; Phosphatidylcholine + H2O <=> Phosphatidate + Choline,C00157 + C00001 <=> C00416 + C00114,Phosphatidylcholine + H2O <=> Phosphatidate + Choline,['3.1.4.4'],C00157;C00001,C00416;C00114,1.0;1.0,1.0;1.0
R01312,"phosphatidylcholine cholinephosphohydrolase; Phosphatidylcholine + H2O <=> 1,2-Diacyl-sn-glycerol + Choline phosphate",C00157 + C00001 <=> C00641 + C00588,"Phosphatidylcholine + H2O <=> 1,2-Diacyl-sn-glycerol + Choline phosphate",['3.1.4.3'],C00157;C00001,C00641;C00588,1.0;1.0,1.0;1.0
R01313,phosphatidylcholine 2-acylhydrolase; Phosphatidylcholine + H2O <=> 1-Acyl-sn-glycero-3-phosphocholine + Carboxylate,C00157 + C00001 <=> C04230 + C00060,Phosphatidylcholine + H2O <=> 1-Acyl-sn-glycero-3-phosphocholine + Carboxylate,['3.1.1.4'],C00157;C00001,C04230;C00060,1.0;1.0,1.0;1.0
R01314,phosphatidylcholine 1-acylhydrolase; Phosphatidylcholine + H2O <=> 2-Acyl-sn-glycero-3-phosphocholine + Carboxylate,C00157 + C00001 <=> C04233 + C00060,Phosphatidylcholine + H2O <=> 2-Acyl-sn-glycero-3-phosphocholine + Carboxylate,['3.1.1.32'],C00157;C00001,C04233;C00060,1.0;1.0,1.0;1.0
R01315,phosphatidylcholine 2-acylhydrolase; Phosphatidylcholine + H2O <=> 1-Acyl-sn-glycero-3-phosphocholine + Fatty acid,C00157 + C00001 <=> C04230 + C00162,Phosphatidylcholine + H2O <=> 1-Acyl-sn-glycero-3-phosphocholine + Fatty acid,['3.1.1.4'],C00157;C00001,C04230;C00162,1.0;1.0,1.0;1.0
R01316,phosphatidylcholine 1-acylhydrolase; Phosphatidylcholine + H2O <=> 2-Acyl-sn-glycero-3-phosphocholine + Fatty acid,C00157 + C00001 <=> C04233 + C00162,Phosphatidylcholine + H2O <=> 2-Acyl-sn-glycero-3-phosphocholine + Fatty acid,['3.1.1.32'],C00157;C00001,C04233;C00162,1.0;1.0,1.0;1.0
R01317,phosphatidylcholine 2-acylhydrolase; Phosphatidylcholine + H2O <=> 1-Acyl-sn-glycero-3-phosphocholine + Arachidonate,C00157 + C00001 <=> C04230 + C00219,Phosphatidylcholine + H2O <=> 1-Acyl-sn-glycero-3-phosphocholine + Arachidonate,['3.1.1.4'],C00157;C00001,C04230;C00219,1.0;1.0,1.0;1.0
R01318,acyl-CoA:1-acyl-sn-glycero-3-phosphocholine O-acyltransferase; Acyl-CoA + 1-Acyl-sn-glycero-3-phosphocholine <=> CoA + Phosphatidylcholine,C00040 + C04230 <=> C00010 + C00157,Acyl-CoA + 1-Acyl-sn-glycero-3-phosphocholine <=> CoA + Phosphatidylcholine,['2.3.1.23'],C00040;C04230,C00010;C00157,1.0;1.0,1.0;1.0
R01319,acyl-CoA:2-acyl-sn-glycero-3-phosphocholine O-acyltransferase; Acyl-CoA + 2-Acyl-sn-glycero-3-phosphocholine <=> CoA + Phosphatidylcholine,C00040 + C04233 <=> C00010 + C00157,Acyl-CoA + 2-Acyl-sn-glycero-3-phosphocholine <=> CoA + Phosphatidylcholine,['2.3.1.62'],C00040;C04233,C00010;C00157,1.0;1.0,1.0;1.0
R01320,S-adenosyl-L-methionine:phosphatidyl-N-dimethylethanolamine N-methyltransferase; S-Adenosyl-L-methionine + Phosphatidyl-N-dimethylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidylcholine,C00019 + C04308 <=> C00021 + C00157,S-Adenosyl-L-methionine + Phosphatidyl-N-dimethylethanolamine <=> S-Adenosyl-L-homocysteine + Phosphatidylcholine,"['2.1.1.16', '2.1.1.71']",C00019;C04308,C00021;C00157,1.0;1.0,1.0;1.0
