reaction,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
R07512,"7,9,7',9'-tetracis-lycopene cis-trans-isomerase; 7,9,7',9'-tetracis-Lycopene <=> Lycopene",C15858 <=> C05432,"7,9,7',9'-tetracis-Lycopene <=> Lycopene",['5.2.1.13'],C15858,C05432,1.0,1.0
R07513,17-O-acetylajmaline O-acetylhydrolase; 17-O-Acetylajmaline + H2O <=> Ajmaline + Acetate,C15985 + C00001 <=> C06542 + C00033,17-O-Acetylajmaline + H2O <=> Ajmaline + Acetate,['3.1.1.80'],C15985;C00001,C06542;C00033,1.0;1.0,1.0;1.0
R07514,"6-hydroxypseudooxynicotinemonooxygenase; 6-Hydroxypseudooxynicotine + Acceptor + H2O <=> 2,6-Dihydroxypseudooxynicotine + Reduced acceptor",C01297 + C00028 + C00001 <=> C15986 + C00030,"6-Hydroxypseudooxynicotine + Acceptor + H2O <=> 2,6-Dihydroxypseudooxynicotine + Reduced acceptor",['1.5.99.14'],C01297;C00028;C00001,C15986;C00030,1.0;1.0;1.0,1.0;1.0
R07515,"2,6-dihydroxypseudooxynicotine hydrolase; 2,6-Dihydroxypseudooxynicotine + H2O <=> 2,6-Dihydroxypyridine + 4-Methylaminobutyrate",C15986 + C00001 <=> C03056 + C15987,"2,6-Dihydroxypseudooxynicotine + H2O <=> 2,6-Dihydroxypyridine + 4-Methylaminobutyrate",['3.7.1.19'],C15986;C00001,C03056;C15987,1.0;1.0,1.0;1.0
R07516,"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming); gamma-Carotene + H2O <=> 1'-Hydroxy-gamma-carotene",C05435 + C00001 <=> C15859,gamma-Carotene + H2O <=> 1'-Hydroxy-gamma-carotene,['4.2.1.131'],C05435;C00001,C15859,1.0;1.0,1.0
R07517,1'-Hydroxy-gamma-carotene <=> 1'-Hydroxytorulene,C15859 <=> C15860,1'-Hydroxy-gamma-carotene <=> 1'-Hydroxytorulene,['1.14.99.-'],C15859,C15860,1.0,1.0
R07518,"15-cis-phytoene:acceptor oxidoreductase (3,4-didehydrolycopene-forming); Lycopene + Reduced acceptor + Oxygen <=> 3,4-Dehydrolycopene + Acceptor + H2O",C05432 + C00030 + C00007 <=> C15867 + C00028 + C00001,"Lycopene + Reduced acceptor + Oxygen <=> 3,4-Dehydrolycopene + Acceptor + H2O",['1.3.99.30'],C05432;C00030;C00007,C15867;C00028;C00001,1.0;1.0;1.0,1.0;1.0;1.0
R07519,"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming); Lycopene + H2O <=> 1-Hydroxy-1,2-dihydrolycopene",C05432 + C00001 <=> C19795,"Lycopene + H2O <=> 1-Hydroxy-1,2-dihydrolycopene",['4.2.1.131'],C05432;C00001,C19795,1.0;1.0,1.0
R07520,"1-hydroxy-1,2-dihydrolycopene:acceptor oxidoreductase; 1-Hydroxy-1,2-dihydrolycopene + Acceptor <=> 3,4-Dehydrorhodopin + Reduced acceptor",C19795 + C00028 <=> C15874 + C00030,"1-Hydroxy-1,2-dihydrolycopene + Acceptor <=> 3,4-Dehydrorhodopin + Reduced acceptor",['1.3.99.27'],C19795;C00028,C15874;C00030,1.0;1.0,1.0;1.0
R07521,"S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase; 3,4-Dehydrorhodopin + S-Adenosyl-L-methionine <=> Anhydrorhodovibrin + S-Adenosyl-L-homocysteine",C15874 + C00019 <=> C15877 + C00021,"3,4-Dehydrorhodopin + S-Adenosyl-L-methionine <=> Anhydrorhodovibrin + S-Adenosyl-L-homocysteine",['2.1.1.210'],C15874;C00019,C15877;C00021,1.0;1.0,1.0;1.0
R07522,"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming); Anhydrorhodovibrin + H2O <=> Rhodovibrin",C15877 + C00001 <=> C15878,Anhydrorhodovibrin + H2O <=> Rhodovibrin,['4.2.1.131'],C15877;C00001,C15878,1.0;1.0,1.0
R07523,"1-hydroxy-1,2-dihydrolycopene:acceptor oxidoreductase; Rhodovibrin <=> Hydroxyspirilloxanthin",C15878 <=> C15879,Rhodovibrin <=> Hydroxyspirilloxanthin,['1.3.99.27'],C15878,C15879,1.0,1.0
R07524,S-adenosyl-L-methionine:demethylspheroidene O-methyltransferase; Hydroxyspirilloxanthin + S-Adenosyl-L-methionine <=> Spirilloxanthin + S-Adenosyl-L-homocysteine,C15879 + C00019 <=> C15881 + C00021,Hydroxyspirilloxanthin + S-Adenosyl-L-methionine <=> Spirilloxanthin + S-Adenosyl-L-homocysteine,['2.1.1.210'],C15879;C00019,C15881;C00021,1.0;1.0,1.0;1.0
